TIME (milliseconds), Temperature (temp units), Pressure (pressure units), X (x units), Y (y units), Z (z units) 
1255, 8811520, 6499072, 2060, 1983, 1968
1287, 8812288, 6499328, 2059, 1992, 1970
1312, 8813056, 6500352, 2057, 1988, 1973
1337, 8813056, 6500352, 2060, 1986, 1980
1362, 8813568, 6499840, 2061, 1987, 1975
1387, 8813568, 6499840, 2066, 1997, 1984
1412, 8813568, 6499840, 2068, 1994, 1976
1437, 8813568, 6500352, 2069, 1998, 1977
1461, 8813568, 6500608, 2063, 1980, 1978
1489, 8813312, 6500352, 2056, 1976, 1978
1514, 8812800, 6500096, 2059, 1985, 1974
1539, 8811520, 6499584, 2062, 1987, 1976
1564, 8810752, 6499328, 2074, 2006, 1977
1589, 8809728, 6498560, 2071, 1997, 1988
1614, 8808704, 6498304, 2058, 1964, 1986
1639, 8807680, 6496768, 2058, 1993, 1980
1664, 8806656, 6497280, 2069, 2003, 1973
1690, 8805888, 6496768, 2070, 1984, 1973
1715, 8804608, 6496256, 2064, 1978, 1968
1740, 8803584, 6496256, 2061, 1981, 1987
1765, 8802560, 6495232, 2066, 1997, 1995
1790, 8801792, 6494976, 2066, 1995, 1994
1815, 8800512, 6494720, 2052, 1975, 1986
1840, 8799744, 6494464, 2057, 1975, 1985
1866, 8799232, 6493696, 2062, 1979, 1978
1891, 8798464, 6493184, 2062, 1992, 1996
1916, 8797696, 6493440, 2064, 1999, 1989
1941, 8796928, 6492928, 2066, 1994, 1984
1966, 8795904, 6492672, 2061, 1982, 1992
1991, 8794624, 6492416, 2070, 2034, 1993
2016, 8794624, 6491392, 2062, 1991, 1991
2040, 8794112, 6491904, 2058, 1986, 1983
2066, 8793856, 6491904, 2062, 1991, 1979
2091, 8792832, 6490880, 2059, 1994, 1974
2117, 8792064, 6491136, 2064, 2002, 1986
2142, 8791808, 6491136, 2067, 2004, 1985
2167, 8791552, 6490880, 2065, 2007, 1982
2192, 8791296, 6490112, 2065, 2006, 1982
2217, 8790784, 6491392, 2065, 2000, 1977
2242, 8790528, 6490624, 2064, 2003, 1984
2267, 8790016, 6489856, 2066, 2003, 1983
2292, 8789760, 6489600, 2062, 1995, 1982
2317, 8789504, 6489600, 2062, 1995, 1980
2342, 8789504, 6489856, 2063, 2008, 1982
2367, 8788992, 6489600, 2063, 2004, 1985
2392, 8788224, 6489600, 2067, 2001, 1984
2417, 8788224, 6489344, 2069, 1999, 1988
2443, 8787968, 6489344, 2064, 1993, 1977
2468, 8787456, 6489344, 2064, 1991, 1974
2494, 8787712, 6489600, 2064, 1979, 1987
2519, 8787456, 6488576, 2058, 1982, 1984
2544, 8786944, 6489088, 2057, 2008, 1975
2569, 8786944, 6488576, 2061, 2020, 1973
2594, 8786944, 6488064, 2064, 1988, 1979
2619, 8786432, 6488320, 2074, 1968, 1982
2644, 8786432, 6488832, 2068, 1983, 1983
2669, 8786176, 6488576, 2070, 2012, 1992
2694, 8785920, 6487296, 2068, 2017, 1994
2719, 8785152, 6487808, 2066, 1999, 1980
2745, 8785664, 6488064, 2058, 1977, 1973
2770, 8785152, 6487552, 2060, 1993, 1982
2795, 8784640, 6488576, 2066, 2024, 1999
2820, 8784128, 6488320, 2066, 2022, 1995
2845, 8784640, 6488064, 2066, 1986, 2002
2870, 8783872, 6488064, 2058, 1983, 2000
2896, 8783616, 6488320, 2050, 2012, 2003
2921, 8783616, 6487552, 2068, 2002, 2003
2946, 8782336, 6487808, 2066, 1995, 2020
2971, 8782336, 6487808, 2040, 1982, 1982
2996, 8782080, 6487040, 2067, 1999, 2000
3021, 8782080, 6487552, 2046, 1985, 1983
3047, 8781312, 6486784, 2065, 1999, 2001
3072, 8781056, 6487040, 2092, 2034, 2005
3097, 8780544, 6486528, 2084, 2000, 1977
3122, 8780288, 6486528, 2062, 1994, 1987
3147, 8780032, 6486784, 2064, 1997, 1980
3172, 8779776, 6487296, 2064, 2002, 1973
3197, 8779776, 6487040, 2059, 2007, 1971
3222, 8779264, 6487040, 2060, 2016, 1953
3247, 8778752, 6486784, 2060, 2016, 1964
3272, 8778496, 6487040, 2060, 2017, 1956
3297, 8778496, 6486272, 2066, 2018, 1950
3322, 8778496, 6486272, 2068, 2024, 1950
3348, 8778240, 6486016, 2076, 2025, 1948
3373, 8777472, 6486272, 2073, 2024, 1949
3398, 8777216, 6485504, 2061, 2020, 1947
3423, 8777216, 6486016, 2052, 2022, 1951
3448, 8776448, 6485760, 2045, 2021, 1951
3473, 8776192, 6484992, 2038, 2014, 1953
3497, 8776704, 6485504, 2034, 2007, 1951
3522, 8776448, 6484992, 2031, 2003, 1951
3547, 8776192, 6484480, 2027, 1998, 1946
3572, 8775936, 6483968, 2036, 1997, 1943
3597, 8776448, 6484480, 2050, 2000, 1940
3622, 8775936, 6483968, 2061, 2001, 1936
3648, 8775680, 6482944, 2064, 2000, 1932
3673, 8775680, 6482944, 2068, 2001, 1938
3697, 8775936, 6482944, 2070, 1997, 1954
3722, 8775168, 6483200, 2073, 1992, 1969
3747, 8774912, 6481920, 2066, 1988, 1964
3772, 8774912, 6481664, 2059, 1986, 1969
3797, 8774656, 6481920, 2055, 1986, 1971
3822, 8774144, 6481920, 2054, 1987, 1972
3847, 8774400, 6481152, 2049, 1968, 1974
3872, 8773632, 6481152, 2054, 1978, 1978
3897, 8773632, 6481664, 2053, 1983, 1970
3922, 8772864, 6480896, 2057, 1989, 1976
3947, 8772864, 6480640, 2064, 1999, 1980
3965, 8772608, 6481152, 2064, 2007, 1979
3990, 8772352, 6480384, 2060, 2039, 1999
4015, 8772096, 6481920, 2060, 1978, 1973
4040, 8771584, 6480896, 2067, 1993, 1968
4065, 8771584, 6480384, 2064, 1999, 1970
4090, 8771584, 6479872, 2064, 1999, 1973
4115, 8771584, 6480640, 2065, 1997, 1969
4140, 8770816, 6480128, 2066, 1995, 1970
4165, 8771072, 6480128, 2062, 1994, 1965
4190, 8771072, 6480640, 2062, 1996, 1964
4215, 8770816, 6479872, 2062, 1994, 1962
4240, 8771328, 6479616, 2064, 1991, 1962
4266, 8770816, 6480640, 2064, 1993, 1965
4291, 8770816, 6480896, 2066, 1990, 1966
4316, 8770816, 6480384, 2064, 1987, 1962
4342, 8770816, 6480384, 2059, 1987, 1959
4367, 8770816, 6479616, 2057, 1991, 1958
4392, 8770816, 6480384, 2060, 1990, 1959
4417, 8770816, 6480640, 2059, 1990, 1960
4442, 8770560, 6480384, 2062, 1991, 1958
4467, 8770560, 6480640, 2062, 1992, 1959
4492, 8770560, 6480640, 2061, 1988, 1958
4517, 8770560, 6480896, 2064, 1988, 1956
4544, 8770048, 6480640, 2063, 1990, 1951
4570, 8770304, 6480384, 2064, 1990, 1951
4595, 8770048, 6481408, 2069, 1999, 1945
4620, 8769792, 6480640, 2067, 1993, 1945
4645, 8769792, 6480384, 2063, 1991, 1945
4670, 8769536, 6481408, 2062, 1991, 1938
4695, 8769536, 6480384, 2061, 1993, 1925
4720, 8769536, 6480640, 2063, 1988, 1930
4745, 8769280, 6481152, 2064, 1989, 1925
4770, 8769536, 6480640, 2067, 1992, 1917
4795, 8769280, 6480384, 2065, 1990, 1918
4820, 8768768, 6480128, 2065, 1990, 1917
4845, 8768768, 6480384, 2064, 1987, 1889
4870, 8768256, 6479872, 2064, 1991, 1876
4895, 8768512, 6479872, 2061, 1989, 1838
4920, 8768256, 6479872, 2062, 1990, 1803
4945, 8768512, 6480640, 2063, 1988, 1610
4970, 8768768, 6479616, 2060, 1987, 1603
4995, 8768768, 6479360, 2060, 1989, 1549
5020, 8768512, 6480128, 2059, 1990, 1530
5045, 8769024, 6479104, 2062, 1991, 1516
5070, 8768768, 6480128, 2066, 1987, 1475
5095, 8769024, 6479616, 2064, 1994, 1399
5120, 8768768, 6479872, 2063, 1998, 1382
5145, 8769024, 6479872, 2063, 1995, 1382
5171, 8768256, 6480384, 2065, 1996, 1380
5196, 8768512, 6479872, 2068, 1998, 1383
5221, 8768256, 6479872, 2067, 1997, 1382
5246, 8769024, 6479616, 2063, 1996, 1377
5271, 8768512, 6479616, 2061, 1995, 1382
5296, 8768512, 6480384, 2064, 1995, 1384
5321, 8768256, 6479616, 2066, 1995, 1383
5346, 8768000, 6480128, 2066, 1996, 1383
5371, 8767744, 6479616, 2057, 1993, 1383
5396, 8767744, 6479616, 2064, 1996, 1382
5421, 8767488, 6479104, 2065, 1996, 1386
5446, 8767488, 6479360, 2063, 1993, 1388
5472, 8767488, 6478848, 2064, 1996, 1386
5497, 8766976, 6479616, 2064, 1994, 1385
5522, 8767488, 6478848, 2062, 1993, 1389
5547, 8767232, 6478848, 2064, 1997, 1385
5572, 8766976, 6479360, 2064, 1996, 1381
5597, 8767488, 6479872, 2065, 1993, 1381
5622, 8766976, 6479616, 2066, 1993, 1382
5647, 8767232, 6479360, 2067, 1998, 1383
5672, 8767232, 6478848, 2066, 1993, 1382
5697, 8767232, 6479104, 2063, 1995, 1380
5722, 8766720, 6478848, 2063, 1995, 1381
5747, 8766720, 6479616, 2062, 1995, 1380
5772, 8766720, 6479360, 2063, 1999, 1381
5797, 8766720, 6479104, 2064, 1996, 1380
5822, 8766464, 6478848, 2063, 1993, 1379
5847, 8766720, 6478592, 2064, 1996, 1380
5872, 8766464, 6479104, 2068, 2009, 1389
TIME (milliseconds), Temperature (temp units), Pressure (pressure units), X (x units), Y (y units), Z (z units) 
1074, 8762880, 6477568, 2064, 1996, 1987
1099, 8762624, 6477568, 2063, 1994, 1986
1124, 8763392, 6477568, 2064, 1991, 1985
1149, 8762880, 6477824, 2064, 1995, 1990
1173, 8762624, 6477568, 2064, 1998, 1984
1199, 8762880, 6477824, 2064, 1997, 1983
1224, 8762624, 6477056, 2064, 1995, 1984
1249, 8762368, 6477312, 2064, 1997, 1981
1274, 8762624, 6477312, 2064, 1995, 1984
1299, 8762368, 6476544, 2064, 1997, 1983
1323, 8762624, 6476800, 2064, 1998, 1983
1348, 8762112, 6476800, 2061, 1999, 1984
1373, 8762112, 6477312, 2063, 1997, 1984
1398, 8761600, 6477312, 2064, 1996, 1987
1423, 8761600, 6476288, 2064, 1998, 1985
1447, 8761600, 6476544, 2064, 1997, 1983
1473, 8761088, 6476288, 2063, 1996, 1987
1498, 8760832, 6475776, 2062, 1995, 1980
1523, 8761088, 6476544, 2061, 1998, 1984
1548, 8760832, 6476032, 2062, 1995, 1987
1573, 8760576, 6476544, 2064, 1992, 1983
1598, 8760832, 6476544, 2062, 1990, 1983
1623, 8760320, 6475776, 2061, 1992, 1983
1648, 8760320, 6476288, 2061, 1993, 1985
1673, 8759552, 6476288, 2064, 1995, 1988
1698, 8760064, 6476800, 2064, 1998, 1991
1723, 8759808, 6476800, 2060, 1997, 1994
1748, 8760064, 6475520, 2065, 2000, 1995
1773, 8759808, 6476544, 2062, 1991, 1994
1798, 8759552, 6477312, 2062, 2002, 1996
1816, 8760064, 6476544, 2063, 2002, 1997
1841, 8759808, 6477312, 2066, 2002, 1999
1867, 8759552, 6477056, 2067, 2003, 1998
1892, 8759808, 6476288, 2063, 2001, 1998
1917, 8760064, 6477056, 2064, 2000, 2000
1942, 8759296, 6476800, 2064, 2001, 1997
1967, 8759296, 6476800, 2062, 2000, 1995
1992, 8759296, 6476288, 2062, 1999, 1994
2017, 8759552, 6476288, 2064, 1999, 1995
2042, 8759040, 6476800, 2063, 1999, 1995
2067, 8759296, 6477056, 2064, 1997, 1993
2092, 8759040, 6476544, 2064, 2001, 1998
2118, 8758528, 6476800, 2064, 2002, 1994
2143, 8758784, 6476288, 2063, 2001, 1996
2168, 8759040, 6476288, 2066, 2002, 1995
2193, 8759040, 6476032, 2064, 2004, 1995
2218, 8759040, 6476032, 2063, 2005, 1996
2243, 8758784, 6476032, 2060, 2005, 1996
2268, 8759040, 6476288, 2061, 2003, 1994
2294, 8758784, 6475264, 2058, 2004, 1987
2319, 8758784, 6475264, 2060, 2008, 1990
2344, 8758528, 6475008, 2062, 2002, 1997
2369, 8758784, 6475776, 2066, 2007, 1996
2394, 8758272, 6475520, 2062, 2000, 2003
2420, 8758528, 6474752, 2067, 2002, 2005
2445, 8758272, 6475776, 2059, 2001, 2004
2470, 8758016, 6475008, 2061, 1995, 2012
2495, 8758272, 6475264, 2064, 1994, 2015
2520, 8758016, 6475520, 2060, 1997, 2019
2545, 8757504, 6475008, 2063, 2001, 2019
2570, 8757760, 6475264, 2062, 1994, 2015
2595, 8757760, 6475264, 2064, 1992, 2016
2620, 8757760, 6475520, 2064, 1996, 2015
2645, 8757760, 6475264, 2063, 2000, 2013
2670, 8758272, 6475520, 2056, 2000, 2011
2695, 8757760, 6474496, 2057, 2003, 2011
2721, 8758016, 6475520, 2057, 1999, 2011
2746, 8758272, 6475520, 2056, 1985, 2015
2771, 8758528, 6475264, 2038, 1975, 2013
2796, 8759296, 6474240, 2038, 1979, 2000
2822, 8759808, 6476288, 2067, 1957, 1990
2847, 8759808, 6475776, 2069, 1933, 2000
2872, 8759808, 6475776, 2075, 1941, 2015
2897, 8759808, 6476288, 2069, 1983, 2028
2922, 8760832, 6477312, 2073, 1985, 2017
2947, 8760320, 6476800, 2072, 2000, 1997
2972, 8760832, 6476544, 2068, 1994, 2002
2997, 8761344, 6477056, 2067, 1992, 2011
3023, 8761856, 6476544, 2065, 1985, 2019
3048, 8762112, 6477056, 2067, 1986, 2017
3073, 8762880, 6477312, 2059, 1984, 2015
3098, 8763136, 6478336, 2065, 1987, 2004
3123, 8763136, 6478592, 2063, 1988, 2002
3148, 8764160, 6477568, 2066, 1988, 2002
3173, 8764416, 6478080, 2066, 1985, 2008
3199, 8764928, 6478080, 2063, 1983, 2006
3224, 8764672, 6479104, 2062, 1980, 2003
3249, 8765184, 6478592, 2059, 1983, 2000
3274, 8765696, 6479360, 2062, 1987, 2001
3299, 8766464, 6478336, 2065, 1987, 1998
3324, 8766720, 6478336, 2064, 1987, 2002
3349, 8766976, 6479616, 2062, 1988, 1999
3374, 8767488, 6480384, 2063, 1991, 2008
3399, 8768000, 6479872, 2062, 1990, 2005
3424, 8767744, 6480640, 2064, 1988, 2003
3449, 8768768, 6480640, 2064, 1986, 2004
3474, 8768768, 6480384, 2063, 1982, 2006
3499, 8769280, 6480896, 2062, 1982, 2004
3524, 8769536, 6480896, 2065, 1987, 2007
3549, 8769536, 6480896, 2067, 1990, 2004
3574, 8770048, 6480384, 2064, 1988, 2007
3599, 8770560, 6481152, 2066, 1985, 2008
3624, 8771072, 6481408, 2067, 1985, 2003
3649, 8771584, 6481664, 2064, 1983, 2004
3674, 8771072, 6481152, 2064, 1982, 2003
3699, 8771840, 6481664, 2062, 1985, 2005
3724, 8772352, 6481408, 2062, 1983, 2008
3749, 8772864, 6481920, 2061, 1992, 2004
3774, 8773376, 6481408, 2059, 1990, 2002
3799, 8773632, 6481664, 2068, 2014, 1993
3824, 8774656, 6480896, 2063, 2001, 1999
3849, 8774400, 6481920, 2064, 1984, 2000
3874, 8775424, 6482688, 2065, 1989, 1998
3899, 8775680, 6481920, 2065, 1987, 1997
3924, 8775680, 6481920, 2064, 1983, 1998
3949, 8775680, 6481664, 2063, 1984, 2000
3974, 8776448, 6481920, 2064, 1985, 1996
4000, 8776960, 6481920, 2063, 1984, 2002
4025, 8776704, 6482944, 2067, 1979, 2001
4050, 8777216, 6482688, 2064, 1984, 2000
4075, 8777216, 6482432, 2064, 1984, 2000
4100, 8777216, 6482944, 2062, 1985, 2001
4125, 8777728, 6482688, 2062, 1986, 2001
4150, 8777984, 6482688, 2062, 1985, 2005
4175, 8777728, 6483968, 2064, 1985, 2000
4200, 8778240, 6483456, 2064, 1983, 2001
4225, 8778240, 6483712, 2064, 1983, 1999
4251, 8778240, 6483712, 2063, 1984, 2004
4276, 8778496, 6483968, 2064, 1985, 2000
4301, 8779008, 6483200, 2064, 1986, 2000
4326, 8778496, 6483456, 2063, 1987, 1999
4352, 8778752, 6483456, 2064, 1986, 2000
4377, 8779008, 6483712, 2064, 1986, 2000
4402, 8778752, 6483712, 2064, 1986, 2002
4427, 8778752, 6484224, 2062, 1986, 2003
4452, 8778752, 6483712, 2062, 1986, 2003
4477, 8779520, 6483712, 2062, 1983, 2001
4502, 8779264, 6483712, 2064, 1984, 2003
4527, 8779264, 6483200, 2066, 1983, 2005
4553, 8779520, 6484480, 2065, 1983, 2002
4578, 8779520, 6484224, 2065, 1991, 2003
4603, 8779776, 6483712, 2065, 1985, 1999
4628, 8780032, 6484224, 2066, 1988, 1992
4653, 8779776, 6483968, 2064, 1987, 1989
4678, 8780800, 6484480, 2070, 1987, 1991
4703, 8781312, 6484736, 2064, 1987, 1994
4728, 8780800, 6484992, 2063, 1988, 1993
4754, 8781312, 6484736, 2065, 1987, 1999
4779, 8781312, 6484992, 2063, 1988, 1999
4804, 8781312, 6484736, 2061, 1984, 1994
4829, 8782080, 6484736, 2062, 1984, 2002
4855, 8782592, 6485504, 2064, 1987, 1996
4880, 8782592, 6485248, 2064, 1988, 1999
4905, 8782336, 6484992, 2066, 1988, 1993
4930, 8782848, 6485248, 2067, 1988, 1993
4955, 8782592, 6485504, 2065, 1987, 1995
4980, 8782336, 6485248, 2063, 1986, 1994
5005, 8782592, 6485248, 2063, 1989, 1995
5030, 8782592, 6485504, 2064, 1981, 2000
5055, 8782336, 6485504, 2064, 1981, 2003
5080, 8782592, 6485504, 2053, 1941, 1995
5106, 8781824, 6485504, 2054, 1982, 1991
5131, 8782336, 6484992, 2068, 2028, 2000
5156, 8782080, 6485248, 2070, 2000, 2032
5182, 8782080, 6484992, 2072, 1999, 1995
5207, 8781312, 6485248, 2067, 2005, 1984
5232, 8781824, 6484992, 2064, 1991, 1974
5257, 8781312, 6485504, 2062, 1986, 1977
5282, 8781824, 6484992, 2062, 1984, 1988
5307, 8781824, 6485760, 2062, 1988, 1987
5332, 8782080, 6484992, 2066, 1994, 1986
5357, 8781824, 6485248, 2066, 1989, 1985
5382, 8781824, 6484992, 2065, 1980, 1980
5407, 8782336, 6485248, 2062, 1987, 1984
5432, 8781824, 6485504, 2062, 1987, 1989
5458, 8782080, 6485504, 2063, 1989, 1995
5483, 8782592, 6486016, 2066, 1987, 2000
5509, 8782336, 6486016, 2063, 1986, 1998
5534, 8782592, 6485760, 2063, 1988, 1997
5559, 8783360, 6485760, 2065, 1993, 1995
5584, 8783616, 6486016, 2065, 1997, 1993
5609, 8783616, 6486016, 2066, 1997, 1994
5634, 8783616, 6486272, 2064, 1996, 2026
5659, 8783872, 6486528, 2065, 1990, 1994
5684, 8784384, 6487552, 2064, 1987, 2018
5709, 8784896, 6487040, 2067, 1988, 1992
5736, 8784896, 6487040, 2066, 1990, 1992
5762, 8784896, 6486784, 2064, 1992, 1994
5787, 8785408, 6487296, 2062, 1991, 1992
5812, 8785664, 6487552, 2062, 1992, 1990
5837, 8785664, 6487040, 2065, 1995, 1988
5862, 8785664, 6487296, 2067, 2001, 1992
5887, 8786432, 6487552, 2066, 1998, 1997
5912, 8786176, 6488064, 2064, 1993, 2000
5937, 8786432, 6488320, 2061, 1993, 2000
5962, 8786688, 6488320, 2060, 1992, 2002
5986, 8787200, 6488832, 2064, 1991, 2003
6011, 8786944, 6489088, 2064, 1994, 1997
6036, 8787200, 6488576, 2062, 1994, 2003
6061, 8787968, 6489600, 2066, 1991, 2000
6087, 8787712, 6489344, 2066, 1991, 2001
6112, 8787968, 6488832, 2065, 1990, 2002
6137, 8788224, 6489600, 2053, 1990, 2003
6162, 8787968, 6488320, 2064, 1990, 2006
6186, 8787712, 6489600, 2064, 1989, 2007
6211, 8788224, 6490368, 2061, 1987, 2007
6236, 8788224, 6490624, 2062, 1987, 2007
6261, 8788480, 6489600, 2062, 1988, 2004
6286, 8788480, 6489856, 2062, 1989, 2008
6311, 8788480, 6490112, 2059, 1988, 2005
6336, 8788224, 6490368, 2057, 1988, 2007
6361, 8788480, 6491136, 2057, 1988, 2024
6387, 8788736, 6491392, 2053, 1986, 2002
6412, 8789248, 6492160, 2053, 1987, 1997
6437, 8790016, 6492160, 2052, 1987, 2005
6462, 8789760, 6492672, 2055, 1983, 2003
6487, 8789504, 6493440, 2061, 1980, 2008
6512, 8790016, 6492672, 2062, 1976, 2012
6537, 8790016, 6492416, 2065, 1979, 2011
6562, 8790016, 6491392, 2067, 1979, 2010
6587, 8789760, 6491904, 2072, 1981, 2010
6612, 8789504, 6492928, 2075, 1981, 2011
6638, 8789504, 6492416, 2072, 1980, 2016
6663, 8789248, 6493696, 2067, 1982, 2015
6688, 8789248, 6493952, 2064, 1982, 2014
6714, 8789248, 6494976, 2064, 1983, 2019
6739, 8789760, 6495232, 2063, 1983, 2019
6764, 8789504, 6494208, 2062, 1983, 2023
6789, 8788992, 6494464, 2059, 1981, 2026
6814, 8789504, 6494720, 2059, 1980, 2022
6839, 8788736, 6493440, 2061, 1980, 2023
6864, 8788992, 6493440, 2063, 1980, 2022
6889, 8789248, 6492416, 2061, 1982, 2018
6914, 8788736, 6492160, 2061, 1983, 2017
6939, 8788992, 6492160, 2059, 1981, 2017
6965, 8788480, 6491904, 2059, 1982, 2013
6990, 8788224, 6491648, 2060, 1982, 2011
7015, 8788224, 6491648, 2058, 1985, 2011
7041, 8787968, 6492160, 2059, 1985, 2012
7066, 8787456, 6491136, 2060, 1987, 2010
7091, 8787200, 6491648, 2061, 1986, 2009
7116, 8786944, 6491648, 2060, 1986, 2009
7141, 8786944, 6491392, 2062, 1989, 2011
7166, 8786688, 6492416, 2061, 1988, 2008
7191, 8786432, 6492928, 2064, 1989, 2013
7216, 8786176, 6492160, 2062, 1988, 2011
7241, 8786176, 6492672, 2064, 1989, 2011
7267, 8785920, 6492928, 2063, 1989, 2014
7292, 8786176, 6493184, 2064, 1989, 2016
7317, 8786176, 6493184, 2065, 1989, 2014
7342, 8786176, 6493184, 2064, 1987, 2015
7368, 8785664, 6492160, 2061, 1987, 2017
7393, 8785920, 6492416, 2059, 1985, 2016
7418, 8785664, 6492416, 2064, 1986, 2015
7443, 8785664, 6492928, 2068, 1986, 2017
7468, 8785920, 6492928, 2080, 1981, 2014
7493, 8785920, 6492672, 2087, 1982, 2015
7518, 8786432, 6493440, 2089, 1983, 2018
7543, 8786432, 6495744, 2085, 1986, 2019
7568, 8786432, 6496768, 2083, 1984, 2013
7593, 8785920, 6497536, 2070, 1973, 2009
7619, 8786944, 6497280, 2066, 1969, 2023
7644, 8785920, 6493184, 2060, 2004, 2033
7669, 8786176, 6490368, 2064, 2015, 2028
7694, 8786432, 6489856, 2045, 2003, 2020
7719, 8786432, 6490880, 2050, 1987, 2000
7745, 8786688, 6491648, 2046, 1972, 1992
7770, 8786432, 6489856, 2049, 1987, 2000
7795, 8786432, 6489600, 2045, 1995, 2015
7820, 8786176, 6488576, 2048, 1991, 2011
7845, 8786432, 6489344, 2050, 1981, 1996
7870, 8786432, 6489088, 2051, 1985, 1998
7895, 8786176, 6489088, 2055, 1979, 1995
7921, 8785920, 6488576, 2055, 1987, 2004
7946, 8785920, 6488576, 2050, 1998, 2007
7971, 8785920, 6488832, 2050, 1985, 1994
7996, 8785408, 6489088, 2067, 1983, 1998
8021, 8785408, 6488832, 2067, 1992, 1997
8047, 8785664, 6489600, 2064, 1991, 1995
8071, 8785408, 6488832, 2068, 2000, 1983
8096, 8785408, 6489088, 2065, 1983, 1990
8121, 8784896, 6488064, 2060, 1982, 1989
8146, 8785152, 6488064, 2062, 1984, 1984
8171, 8785152, 6488576, 2065, 1982, 1986
8196, 8785152, 6488320, 2069, 1982, 1994
8222, 8784384, 6488576, 2072, 1980, 1994
8239, 8784896, 6488832, 2072, 1981, 1994
8264, 8784384, 6488832, 2075, 1980, 1991
8289, 8784384, 6488576, 2061, 1983, 1985
8314, 8784128, 6487552, 2059, 1965, 1976
8339, 8784128, 6488064, 2057, 1960, 1959
8363, 8784128, 6488576, 2056, 1968, 1963
8388, 8783616, 6488320, 2060, 1973, 1971
8413, 8783360, 6487808, 2060, 1979, 1972
8438, 8783360, 6487296, 2058, 1983, 1974
8463, 8782848, 6487808, 2060, 1984, 1973
8488, 8782592, 6487040, 2060, 1986, 1978
8512, 8782080, 6487296, 2061, 1990, 1979
8538, 8782080, 6487296, 2060, 1992, 1977
8563, 8781568, 6486528, 2056, 1990, 1974
8587, 8781312, 6486784, 2054, 1987, 1968
8612, 8780800, 6486784, 2053, 1987, 1965
8637, 8780544, 6487040, 2052, 1988, 1972
8662, 8780800, 6486784, 2059, 1992, 1975
8687, 8780544, 6486784, 2061, 1991, 1975
8712, 8780544, 6486272, 2063, 1983, 1972
8737, 8780800, 6487552, 2061, 1987, 1974
8761, 8780544, 6486784, 2066, 1988, 1983
8788, 8780032, 6486528, 2067, 1986, 1983
8813, 8780544, 6486272, 2069, 1992, 1988
8839, 8780288, 6486272, 2070, 1993, 1987
8864, 8780544, 6485248, 2070, 1994, 1989
8889, 8781056, 6485504, 2067, 1993, 1994
8914, 8781056, 6485760, 2067, 1990, 1988
8939, 8781824, 6484736, 2067, 1988, 1989
8964, 8781824, 6483968, 2065, 1992, 1993
8990, 8782592, 6484224, 2064, 1991, 1989
9015, 8782592, 6483712, 2064, 1990, 1985
9040, 8783104, 6483712, 2064, 1990, 1980
9065, 8783616, 6483456, 2062, 1989, 1976
9090, 8784128, 6483712, 2060, 1990, 1977
9115, 8784384, 6483200, 2059, 1991, 1979
9141, 8784128, 6483456, 2060, 1996, 1984
9166, 8785408, 6480896, 2064, 1990, 1987
9191, 8785664, 6480640, 2066, 1992, 1985
9216, 8785152, 6481664, 2064, 1994, 1987
9241, 8785152, 6482432, 2062, 2002, 1990
9266, 8785152, 6483200, 2064, 1997, 1993
9291, 8784896, 6482944, 2064, 1994, 1994
9316, 8785152, 6483712, 2065, 1990, 1989
9341, 8785152, 6484224, 2065, 1992, 1983
9367, 8785664, 6483968, 2063, 1994, 1987
9392, 8784384, 6485760, 2066, 1991, 1988
9417, 8783616, 6487296, 2065, 1992, 1988
9443, 8783360, 6488320, 2065, 1990, 1988
9468, 8783360, 6487808, 2064, 1987, 1986
9493, 8783360, 6487296, 2062, 1987, 1990
9518, 8782848, 6487808, 2062, 1985, 1988
9543, 8783104, 6487040, 2064, 1987, 1985
9568, 8782080, 6487296, 2062, 1990, 1990
9593, 8782848, 6487296, 2064, 1989, 1991
9618, 8781824, 6487296, 2064, 1988, 1989
9643, 8782080, 6486784, 2066, 1987, 1988
9668, 8781568, 6487040, 2064, 1992, 1987
9693, 8781568, 6486528, 2066, 1991, 1991
9719, 8781568, 6486784, 2067, 1995, 1991
9744, 8781312, 6487040, 2068, 1994, 1989
9770, 8780544, 6486528, 2066, 1992, 1987
9795, 8781056, 6486528, 2064, 1990, 1990
9820, 8780544, 6486272, 2066, 1991, 1990
9845, 8780288, 6486528, 2068, 1989, 1988
9870, 8780544, 6486016, 2066, 1987, 1989
9895, 8779776, 6486016, 2064, 1987, 1989
9920, 8779520, 6485760, 2064, 1984, 1986
9945, 8779520, 6485760, 2060, 1988, 1991
9970, 8779264, 6486016, 2060, 1986, 1989
9995, 8779264, 6486016, 2061, 1984, 1988
10020, 8779264, 6485504, 2062, 1984, 1987
10046, 8778752, 6485760, 2065, 1984, 1988
10071, 8778496, 6485504, 2062, 1988, 1992
10097, 8778240, 6486272, 2062, 1983, 1988
10122, 8777984, 6484736, 2042, 1957, 1966
10147, 8777728, 6485760, 2048, 1971, 1977
10172, 8777984, 6485248, 2063, 1987, 2000
10197, 8777472, 6484480, 2066, 1983, 2017
10222, 8777728, 6485248, 2064, 1993, 2007
10248, 8777216, 6484992, 2064, 1989, 1995
10273, 8777472, 6484224, 2064, 1988, 1991
10298, 8777472, 6484992, 2065, 1989, 1997
10323, 8777216, 6484736, 2068, 1995, 2006
10348, 8777472, 6484224, 2067, 1999, 2003
