bits, TICKS
0, 11457583 
0, 11488221 
0, 11518860 
0, 11549498 
0, 11580135 
0, 11606103 
0, 11636736 
0, 11667372 
0, 11698008 
0, 11728645 
0, 11759282 
0, 11789918 
0, 11820554 
0, 11851191 
3, 11881828 
7, 11912466 
0, 11943103 
0, 11973740 
0, 12004377 
0, 12035013 
0, 12065646 
0, 12096281 
0, 12126920 
93, 12157558 
0, 12188246 
0, 12218884 
0, 12249523 
0, 12280161 
0, 12310798 
0, 12341436 
0, 12372071 
0, 12402708 
0, 12433345 
0, 12463978 
0, 12494616 
0, 12525253 
0, 12555885 
0, 12586522 
0, 12617159 
0, 12647795 
0, 12678431 
0, 12704399 
0, 12735038 
0, 12765676 
0, 12796313 
0, 12826951 
0, 12857590 
0, 12888228 
0, 12918868 
0, 12949506 
0, 12980147 
0, 13010787 
0, 13041424 
0, 13072059 
0, 13102698 
0, 13133336 
0, 13163971 
0, 13194610 
0, 13225249 
0, 13255887 
0, 13286527 
0, 13317165 
0, 13347806 
0, 13378446 
0, 13409083 
0, 13439721 
0, 13470362 
0, 13501002 
0, 13531636 
0, 13562272 
0, 13592911 
0, 13623549 
0, 13654189 
0, 13684827 
0, 13715468 
0, 13746108 
0, 13776745 
0, 13807383 
0, 13833355 
0, 13863993 
16, 13894631 
23, 13925319 
27, 13956007 
34, 13986694 
11, 14017381 
0, 14048069 
0, 14078708 
66, 14109346 
0, 14140033 
0, 14170669 
0, 14201307 
0, 14231944 
0, 14262581 
0, 14293219 
0, 14323857 
0, 14354494 
0, 14385131 
0, 14415769 
0, 14446407 
0, 14477044 
0, 14507681 
0, 14538319 
0, 14568957 
0, 14599594 
0, 14630231 
0, 14660864 
0, 14691502 
0, 14722139 
0, 14752776 
0, 14783414 
0, 14814052 
0, 14844689 
0, 14875326 
0, 14905964 
0, 14931933 
0, 14962573 
0, 14993211 
0, 15023852 
0, 15054493 
0, 15085133 
0, 15115770 
0, 15146408 
0, 15177049 
0, 15207689 
0, 15238326 
0, 15268964 
0, 15299605 
0, 15330245 
0, 15360879 
0, 15391520 
0, 15422161 
0, 15452796 
0, 15483434 
0, 15514075 
0, 15544716 
0, 15575356 
0, 15605993 
0, 15636631 
