X, Y, Z, TICKS
1982,2006,2090,646660
1983,2007,2091,648330
1984,2005,2088,650000
1983,2005,2089,651670
1983,2005,2090,653340
1991,2006,2091,655010
1983,2010,2088,656680
1983,2004,2089,658350
1983,2006,2091,660021
1983,2007,2089,661691
1983,2005,2088,663361
1984,2007,2087,665049
1983,1994,2089,681984
1984,2006,2091,683676
1985,2007,2088,685347
1983,2006,2089,687017
1983,2008,2091,688687
1983,2004,2090,690357
1986,2006,2090,692027
1983,2007,2090,693697
1982,2005,2091,695367
1983,2006,2089,697038
1982,2006,2091,698708
1983,2003,2089,700378
1982,2007,2094,702049
1982,2007,2088,703752
1983,2004,2088,705422
1983,2005,2091,707093
1983,2007,2089,708763
1984,2004,2089,710432
1976,2004,2090,712102
1980,2004,2087,713772
1985,2006,2087,730704
1983,2007,2090,732376
1982,2006,2089,734046
1983,2006,2090,735717
1982,2006,2089,737387
1981,2005,2089,739057
1980,2003,2087,740728
1981,2005,2089,742398
1991,2005,2089,744090
1984,2005,2088,745761
1982,2006,2090,747431
1982,2005,2090,749101
1982,2004,2088,750772
1983,2006,2089,752442
1983,2005,2090,754112
1981,2005,2090,755782
1983,2006,2089,757452
1983,2005,2089,759122
1983,2005,2090,760792
1983,2004,2091,762462
1984,2005,2086,779413
1983,2008,2090,781085
1986,2005,2091,782775
1983,2007,2089,784445
1982,2002,2085,786116
1990,1997,2090,787786
1983,2000,2090,789456
1983,2005,2090,791127
1986,2007,2090,792797
1985,2005,2090,794467
1985,2011,2096,796137
1983,2006,2091,797807
1988,2004,2090,799477
1982,2005,2088,801147
1982,2006,2092,802845
1982,2003,2091,804516
1983,2005,2091,806187
1983,2004,2090,807857
1982,2005,2091,809527
1983,2005,2091,811197
1983,2000,2091,828129
1983,2007,2092,829801
1984,2004,2086,831472
1989,2005,2091,833142
1983,2002,2086,834812
1991,2004,2090,836482
1983,2006,2092,838152
1983,2006,2093,839822
1989,2005,2091,841491
1990,2010,2096,843193
1984,2007,2090,844864
1983,2006,2090,846535
1982,2005,2091,848206
1983,2006,2091,849877
1982,2005,2091,851548
1983,2005,2091,853219
1983,2004,2091,854890
1983,2005,2091,856561
1983,2005,2091,858232
1981,2006,2091,875187
1985,2006,2091,876859
1985,2005,2091,878530
1981,2001,2090,880200
1983,2005,2089,881890
1980,2005,2091,883560
1983,2002,2087,885230
1983,2005,2093,886900
1988,2010,2093,888570
1983,2005,2091,890240
1983,2005,2086,891910
1984,2009,2092,893580
1982,2005,2091,895251
1983,2007,2089,896922
1983,2004,2081,898593
1983,2004,2089,900263
1983,2001,2089,901954
1980,2005,2088,903624
1983,2004,2091,905294
1981,2004,2094,906965
1984,2000,2088,923898
1984,2005,2090,925571
1985,2005,2090,927242
1983,2004,2089,928913
1983,2006,2090,930583
1978,2005,2088,932253
1983,2007,2088,933923
1983,2009,2089,935594
1984,2005,2097,937265
1982,2007,2088,938936
1982,2004,2090,940606
1983,2005,2090,942308
1983,2006,2091,943979
1983,2006,2092,945649
1982,2007,2089,947320
1982,2003,2089,948991
1982,2004,2091,950662
1979,2004,2091,952333
1982,2004,2092,954004
1983,2005,2091,955675
1984,2005,2091,972607
1983,2004,2090,974279
1983,2004,2096,975950
1983,2002,2089,977621
1982,2000,2088,979292
1981,2007,2089,980963
1983,2005,2086,982632
1980,2006,2089,984302
1985,2007,2091,985973
1983,2007,2091,987644
1982,2005,2091,989315
1979,2005,2090,990986
1983,2005,2090,992657
1983,2005,2089,994328
1981,2007,2089,995999
1984,2005,2090,997669
1983,2005,2085,999340
1983,2004,2091,1001031
1983,2004,2089,1002713
1986,2004,2090,1019659
1983,2004,2090,1021362
1985,2006,2091,1023044
1985,2005,2094,1024727
1980,2012,2089,1026409
1977,2005,2091,1028091
1987,1995,2086,1029774
1981,2006,2089,1031456
1986,2003,2091,1033138
1983,2007,2090,1034821
1988,2005,2090,1036502
1982,2011,2088,1038184
1983,2004,2078,1039866
1986,2009,2090,1041581
1980,2004,2089,1043263
1980,2005,2090,1044945
1987,2016,2092,1046628
1983,2006,2089,1048310
1984,2005,2092,1049992
1975,2005,2092,1066937
1985,2006,2091,1068621
1979,2009,2089,1070304
1979,2005,2088,1071986
1983,2001,2087,1073668
1975,2004,2088,1075351
1981,2004,2092,1077033
1987,2006,2092,1078715
1983,2007,2091,1080418
1983,2006,2091,1082101
1998,2004,2091,1083783
1983,2007,2091,1085465
1984,2004,2089,1087148
1987,2006,2091,1088830
1983,2009,2095,1090512
1984,2005,2104,1092195
1983,2005,2086,1093877
1984,2005,2090,1095559
1980,2005,2089,1097242
1985,2006,2089,1114208
1983,2006,2094,1115892
1984,2006,2096,1117574
1981,2005,2090,1119256
1986,2006,2091,1120970
1992,2007,2090,1122653
1984,2007,2089,1124335
1983,2004,2092,1126017
1986,2005,2091,1127700
1983,2007,2091,1129382
1983,2005,2092,1131064
1985,2004,2089,1132747
1985,2005,2090,1134429
1978,2003,2092,1136111
1977,2005,2089,1137794
1984,2004,2091,1139476
1986,2006,2089,1141175
1983,2004,2096,1142858
1985,2004,2089,1144540
1984,2008,2090,1161484
1985,2007,2100,1163168
1983,2005,2087,1164850
1983,2005,2091,1166532
1986,2004,2089,1168214
1985,2006,2090,1169896
1983,2007,2092,1171578
1974,2003,2090,1173260
1984,2006,2091,1174942
1983,2007,2092,1176624
1983,2005,2090,1178306
1984,2005,2095,1180009
1983,2005,2089,1181692
1983,2004,2092,1183374
1985,2004,2090,1185056
1981,2005,2090,1186738
1983,2003,2090,1188420
1981,2004,2088,1190102
1984,2003,2087,1191784
1989,2004,2090,1208729
1980,2007,2092,1210413
1983,2005,2092,1212096
1984,2005,2091,1213778
1988,2006,2092,1215460
1983,2004,2091,1217142
1985,2006,2088,1218824
1983,2006,2092,1220524
1981,2006,2096,1222206
1983,2003,2093,1223888
1983,2006,2090,1225571
1983,2006,2090,1227253
1987,2003,2090,1228935
1982,2011,2091,1230617
1982,2004,2090,1232299
1980,2006,2091,1233981
1983,2007,2091,1235663
1983,2006,2094,1237345
1979,2005,2084,1239045
1983,2005,2090,1255992
1985,2007,2090,1257676
1981,2005,2095,1259383
1983,2006,2088,1261065
1981,2004,2088,1262747
1982,2007,2092,1264429
1981,2005,2090,1266111
1983,2005,2093,1267793
1989,2003,2092,1269475
1983,2010,2100,1271157
1980,2004,2090,1272839
1982,2006,2092,1274521
1983,2007,2090,1276203
1983,2004,2090,1277885
1973,2005,2091,1279599
1983,2007,2113,1281281
1984,2005,2093,1282963
1983,2006,2088,1284645
1979,2005,2080,1286327
1983,2005,2101,1303270
1987,2012,2091,1304954
1982,2000,2091,1306636
1982,2006,2091,1308319
1984,2009,2090,1310002
1983,2006,2089,1311685
1982,2007,2090,1313367
1982,2006,2093,1315049
1982,2005,2090,1316731
1983,2007,2087,1318432
1980,2006,2087,1320114
1981,2005,2090,1321796
1983,2004,2090,1323478
1982,2005,2093,1325160
1986,2004,2090,1326843
1983,2017,2091,1328526
1982,2005,2089,1330209
1988,2005,2090,1331891
1982,2001,2091,1333573
1983,2006,2091,1350540
1990,2003,2092,1352224
1983,2006,2089,1353906
1980,2006,2090,1355588
1983,2004,2089,1357270
1981,2007,2091,1358984
1983,2007,2091,1360666
1983,2003,2090,1362349
1988,2006,2085,1364032
1983,2005,2092,1365715
1983,2007,2090,1367398
1977,2005,2089,1369080
1983,2007,2089,1370762
1983,2004,2090,1372444
1983,2005,2092,1374126
1982,2004,2090,1375808
1981,2006,2090,1377491
1982,2004,2090,1379191
1983,2005,2090,1380873
1983,2005,2091,1397838
1984,2007,2091,1399522
1986,2005,2090,1401205
1981,2006,2090,1402888
1983,2004,2090,1404571
1983,2006,2091,1406254
1983,2006,2092,1407936
1982,2004,2089,1409618
1983,2001,2089,1411300
1979,2006,2089,1412982
1983,2006,2091,1414664
1983,2006,2090,1416347
1983,2004,2090,1418052
1982,2006,2089,1419734
1982,2002,2089,1421416
1982,2004,2097,1423099
1983,2004,2090,1424782
1983,2005,2088,1426464
1994,2004,2089,1428146
1982,2005,2089,1445091
1982,2006,2093,1446775
1984,2006,2088,1448457
1982,2009,2083,1450139
1983,2003,2090,1451821
1986,2006,2094,1453503
1983,2007,2091,1455186
1984,2004,2087,1456869
1983,2006,2093,1458569
1985,2007,2091,1460251
1982,2003,2092,1461934
1983,1995,2093,1463617
1983,2005,2090,1465300
1984,2004,2091,1466982
1985,2005,2090,1468664
1985,2004,2091,1470346
1983,2007,2090,1472028
1984,2005,2093,1473710
1985,2003,2090,1475393
1985,2004,2091,1526902
1987,2007,2092,1528586
1981,2007,2092,1530269
1983,2004,2094,1531952
1983,2009,2094,1533635
1983,2006,2091,1535318
1985,2005,2091,1537021
1983,2007,2092,1538703
1983,2007,2090,1540385
1984,2008,2092,1542067
1983,2006,2092,1543749
1983,2005,2092,1545431
1983,2006,2091,1547114
1984,2007,2091,1548797
1984,2006,2093,1550480
1983,2006,2093,1552162
1984,2007,2091,1553844
1985,2006,2091,1555525
1984,2007,2091,1557228
1986,2007,2091,1574175
1986,2011,2090,1575859
1983,2004,2090,1577575
1983,2004,2089,1579258
1985,2007,2092,1580941
1984,2008,2091,1582624
1984,2008,2092,1584307
1983,2006,2092,1585990
1988,2007,2091,1587673
1980,2006,2091,1589356
1984,2006,2094,1591039
1984,2006,2091,1592721
1983,2007,2093,1594403
1982,2005,2084,1596085
1980,2004,2089,1597784
1983,2006,2090,1599466
1984,2011,2089,1601148
1983,2007,2089,1602830
1982,2005,2091,1604512
1984,2005,2090,1621454
1984,2008,2092,1623138
1983,2008,2091,1624820
1981,2007,2092,1626502
1982,2015,2087,1628185
1983,2001,2091,1629868
1983,2004,2091,1631551
1983,2007,2091,1633234
1981,2005,2090,1634917
1985,2004,2087,1636621
1983,2006,2092,1638304
1983,2006,2089,1639987
1983,2008,2094,1641670
1982,2008,2090,1643353
1983,2005,2091,1645035
1983,2006,2089,1646717
1984,2004,2089,1648399
1983,2006,2089,1650081
1983,2006,2091,1651763
1986,2005,2090,1668731
1985,2007,2089,1670415
1980,2007,2089,1672097
1980,2004,2089,1673779
1983,2002,2089,1675462
1981,2008,2092,1677162
1983,2003,2086,1678844
1978,2006,2091,1680526
1983,2005,2090,1682209
1984,2005,2090,1683892
1983,2006,2089,1685574
1984,2004,2087,1687256
1985,2005,2090,1688938
1981,2018,2089,1690620
1983,2005,2089,1692302
1983,2005,2089,1693984
1983,2008,2089,1695687
1981,2005,2091,1697370
1985,2008,2089,1699053
1985,2005,2088,1716019
1984,2005,2090,1717703
1979,2005,2090,1719386
1991,2004,2089,1721069
1974,2007,2091,1722752
1982,2005,2091,1724435
1983,2005,2089,1726117
1983,2005,2090,1727799
1982,2005,2096,1729481
1983,2004,2086,1731163
1981,2005,2091,1732845
